total_loss	policy_loss	value_loss	entropy_loss	kl_divergence	
0.062070	0.062209	1.002420	0.000139	0.456652	
0.062070	0.059975	0.062209	0.060114	1.002420	
1.000323	0.000139	0.000139	0.456652	0.456349	
0.062070	0.059975	0.058409	0.062209	0.060114	
0.058547	1.002420	1.000323	0.998317	0.000139	
0.000139	0.000139	0.456652	0.456349	0.456170	
0.062070	0.059975	0.058409	0.060813	0.062209	
0.060114	0.058547	0.060951	1.002420	1.000323	
0.998317	0.994458	0.000139	0.000139	0.000139	
0.000139	0.456652	0.456349	0.456170	0.456233	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.062209	0.060114	0.058547	0.060951	0.068731	
1.002420	1.000323	0.998317	0.994458	0.990841	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.456652	0.456349	0.456170	0.456233	0.456191	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.062209	0.060114	0.058547	0.060951	
0.068731	0.079439	1.002420	1.000323	0.998317	
0.994458	0.990841	0.990476	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.456652	
0.456349	0.456170	0.456233	0.456191	0.455996	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.062209	0.060114	0.058547	
0.060951	0.068731	0.079439	0.068745	1.002420	
1.000323	0.998317	0.994458	0.990841	0.990476	
0.988389	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.456652	0.456349	
0.456170	0.456233	0.456191	0.455996	0.455962	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.062209	0.060114	
0.058547	0.060951	0.068731	0.079439	0.068745	
0.052264	1.002420	1.000323	0.998317	0.994458	
0.990841	0.990476	0.988389	0.984501	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.456652	0.456349	0.456170	
0.456233	0.456191	0.455996	0.455962	0.455953	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.036738	0.062209	
0.060114	0.058547	0.060951	0.068731	0.079439	
0.068745	0.052264	0.036876	1.002420	1.000323	
0.998317	0.994458	0.990841	0.990476	0.988389	
0.984501	0.983549	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.456652	0.456349	0.456170	0.456233	
0.456191	0.455996	0.455962	0.455953	0.456063	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.036738	0.026025	
0.062209	0.060114	0.058547	0.060951	0.068731	
0.079439	0.068745	0.052264	0.036876	0.026163	
1.002420	1.000323	0.998317	0.994458	0.990841	
0.990476	0.988389	0.984501	0.983549	0.982428	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.456652	0.456349	0.456170	0.456233	0.456191	
0.455996	0.455962	0.455953	0.456063	0.456051	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.036738	0.026025	
0.019119	0.062209	0.060114	0.058547	0.060951	
0.068731	0.079439	0.068745	0.052264	0.036876	
0.026163	0.019258	1.002420	1.000323	0.998317	
0.994458	0.990841	0.990476	0.988389	0.984501	
0.983549	0.982428	0.981347	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.456652	
0.456349	0.456170	0.456233	0.456191	0.455996	
0.455962	0.455953	0.456063	0.456051	0.456042	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.036738	0.026025	
0.019119	0.018675	0.062209	0.060114	0.058547	
0.060951	0.068731	0.079439	0.068745	0.052264	
0.036876	0.026163	0.019258	0.018813	1.002420	
1.000323	0.998317	0.994458	0.990841	0.990476	
0.988389	0.984501	0.983549	0.982428	0.981347	
0.978699	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.456652	0.456349	
0.456170	0.456233	0.456191	0.455996	0.455962	
0.455953	0.456063	0.456051	0.456042	0.456006	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.036738	0.026025	
0.019119	0.018675	0.004860	0.062209	0.060114	
0.058547	0.060951	0.068731	0.079439	0.068745	
0.052264	0.036876	0.026163	0.019258	0.018813	
0.004998	1.002420	1.000323	0.998317	0.994458	
0.990841	0.990476	0.988389	0.984501	0.983549	
0.982428	0.981347	0.978699	0.971760	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.456652	0.456349	0.456170	
0.456233	0.456191	0.455996	0.455962	0.455953	
0.456063	0.456051	0.456042	0.456006	0.456053	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.036738	0.026025	
0.019119	0.018675	0.004860	-0.003594	0.062209	
0.060114	0.058547	0.060951	0.068731	0.079439	
0.068745	0.052264	0.036876	0.026163	0.019258	
0.018813	0.004998	-0.003456	1.002420	1.000323	
0.998317	0.994458	0.990841	0.990476	0.988389	
0.984501	0.983549	0.982428	0.981347	0.978699	
0.971760	0.969147	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.456652	0.456349	0.456170	0.456233	
0.456191	0.455996	0.455962	0.455953	0.456063	
0.456051	0.456042	0.456006	0.456053	0.456022	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.036738	0.026025	
0.019119	0.018675	0.004860	-0.003594	-0.022075	
0.062209	0.060114	0.058547	0.060951	0.068731	
0.079439	0.068745	0.052264	0.036876	0.026163	
0.019258	0.018813	0.004998	-0.003456	-0.021937	
1.002420	1.000323	0.998317	0.994458	0.990841	
0.990476	0.988389	0.984501	0.983549	0.982428	
0.981347	0.978699	0.971760	0.969147	0.971206	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.456652	0.456349	0.456170	0.456233	0.456191	
0.455996	0.455962	0.455953	0.456063	0.456051	
0.456042	0.456006	0.456053	0.456022	0.456026	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.036738	0.026025	
0.019119	0.018675	0.004860	-0.003594	-0.022075	
-0.030702	0.062209	0.060114	0.058547	0.060951	
0.068731	0.079439	0.068745	0.052264	0.036876	
0.026163	0.019258	0.018813	0.004998	-0.003456	
-0.021937	-0.030564	1.002420	1.000323	0.998317	
0.994458	0.990841	0.990476	0.988389	0.984501	
0.983549	0.982428	0.981347	0.978699	0.971760	
0.969147	0.971206	0.964279	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.456652	
0.456349	0.456170	0.456233	0.456191	0.455996	
0.455962	0.455953	0.456063	0.456051	0.456042	
0.456006	0.456053	0.456022	0.456026	0.455968	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.036738	0.026025	
0.019119	0.018675	0.004860	-0.003594	-0.022075	
-0.030702	-0.039534	0.062209	0.060114	0.058547	
0.060951	0.068731	0.079439	0.068745	0.052264	
0.036876	0.026163	0.019258	0.018813	0.004998	
-0.003456	-0.021937	-0.030564	-0.039396	1.002420	
1.000323	0.998317	0.994458	0.990841	0.990476	
0.988389	0.984501	0.983549	0.982428	0.981347	
0.978699	0.971760	0.969147	0.971206	0.964279	
0.959251	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.456652	0.456349	
0.456170	0.456233	0.456191	0.455996	0.455962	
0.455953	0.456063	0.456051	0.456042	0.456006	
0.456053	0.456022	0.456026	0.455968	0.455975	
0.062070	0.059975	0.058409	0.060813	0.068593	
0.079300	0.068606	0.052125	0.036738	0.026025	
0.019119	0.018675	0.004860	-0.003594	-0.022075	
