total_loss	policy_loss	value_loss	entropy_loss	kl_divergence	
0.048205	0.048344	1.002613	0.000139	0.476597	
0.048205	0.065538	0.048344	0.065677	1.002613	
0.997047	0.000139	0.000139	0.476597	0.474756	
0.048205	0.065538	0.067108	0.048344	0.065677	
0.067246	1.002613	0.997047	0.988360	0.000139	
0.000139	0.000139	0.476597	0.474756	0.473972	
0.048205	0.065538	0.067108	0.060005	0.048344	
0.065677	0.067246	0.060143	1.002613	0.997047	
0.988360	0.977242	0.000139	0.000139	0.000139	
0.000139	0.476597	0.474756	0.473972	0.472729	
0.048205	0.065538	0.067108	0.060005	0.078233	
0.048344	0.065677	0.067246	0.060143	0.078371	
1.002613	0.997047	0.988360	0.977242	0.952021	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.476597	0.474756	0.473972	0.472729	0.471929	
0.048205	0.065538	0.067108	0.060005	0.078233	
0.089562	0.048344	0.065677	0.067246	0.060143	
0.078371	0.089700	1.002613	0.997047	0.988360	
0.977242	0.952021	0.922168	0.000139	0.000139	
0.000139	0.000139	0.000139	0.000139	0.476597	
0.474756	0.473972	0.472729	0.471929	0.471205	
0.048205	0.065538	0.067108	0.060005	0.078233	
0.089562	0.215259	0.048344	0.065677	0.067246	
0.060143	0.078371	0.089700	0.215397	1.002613	
0.997047	0.988360	0.977242	0.952021	0.922168	
0.892601	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.000139	0.476597	0.474756	
0.473972	0.472729	0.471929	0.471205	0.471546	
0.048205	0.065538	0.067108	0.060005	0.078233	
0.089562	0.215259	-0.033842	0.048344	0.065677	
0.067246	0.060143	0.078371	0.089700	0.215397	
-0.033704	1.002613	0.997047	0.988360	0.977242	
0.952021	0.922168	0.892601	0.910779	0.000139	
0.000139	0.000139	0.000139	0.000139	0.000139	
0.000139	0.000139	0.476597	0.474756	0.473972	
0.472729	0.471929	0.471205	0.471546	0.470497	
0.048205	0.065538	0.067108	0.060005	0.078233	
0.089562	0.215259	-0.033842	0.339476	0.048344	
0.065677	0.067246	0.060143	0.078371	0.089700	
0.215397	-0.033704	0.339615	1.002613	0.997047	
